"Step","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/accuracy","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/accuracy__MIN","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/accuracy__MAX","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/accuracy","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/accuracy__MIN","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/accuracy__MAX"
"0","0.3066519333256758","0.3066519333256758","0.3066519333256758","0.3273856506607042","0.3273856506607042","0.3273856506607042"
"2","0.4564625976355836","0.4564625976355836","0.4564625976355836","0.4649136595060507","0.4649136595060507","0.4649136595060507"
"4","0.5208522549372915","0.5208522549372915","0.5208522549372915","0.5272799429133622","0.5272799429133622","0.5272799429133622"
"6","0.5672764469046244","0.5672764469046244","0.5672764469046244","0.5711508343070665","0.5711508343070665","0.5711508343070665"
"8","0.6033052549650069","0.6033052549650069","0.6033052549650069","0.6053815381664266","0.6053815381664266","0.6053815381664266"
"10","0.6354011527328681","0.6354011527328681","0.6354011527328681","0.6321132716105622","0.6321132716105622","0.6321132716105622"
"12","0.6628555378709702","0.6628555378709702","0.6628555378709702","0.6552621289545739","0.6552621289545739","0.6552621289545739"
"14","0.6872749128607758","0.6872749128607758","0.6872749128607758","0.6758302164635246","0.6758302164635246","0.6758302164635246"
"16","0.7076299825059927","0.7076299825059927","0.7076299825059927","0.692829762406978","0.692829762406978","0.692829762406978"
"18","0.7248952275773372","0.7248952275773372","0.7248952275773372","0.7077075023878929","0.7077075023878929","0.7077075023878929"
"20","0.7419697605499667","0.7419697605499667","0.7419697605499667","0.7231506536886622","0.7231506536886622","0.7231506536886622"
"22","0.7554425635276268","0.7554425635276268","0.7554425635276268","0.7353245706519249","0.7353245706519249","0.7353245706519249"
"24","0.7679967182637685","0.7679967182637685","0.7679967182637685","0.7468575361804286","0.7468575361804286","0.7468575361804286"
"26","0.7783198679698503","0.7783198679698503","0.7783198679698503","0.7575192065435001","0.7575192065435001","0.7575192065435001"
"28","0.7893063171313849","0.7893063171313849","0.7893063171313849","0.76717676592163","0.76717676592163","0.76717676592163"
"30","0.7979590640213128","0.7979590640213128","0.7979590640213128","0.7768784117534641","0.7768784117534641","0.7768784117534641"
"32","0.8067620691121375","0.8067620691121375","0.8067620691121375","0.7850691869798916","0.7850691869798916","0.7850691869798916"
"34","0.814089466731428","0.814089466731428","0.814089466731428","0.7938168034630204","0.7938168034630204","0.7938168034630204"
"36","0.8208006587647252","0.8208006587647252","0.8208006587647252","0.8016279402096302","0.8016279402096302","0.8016279402096302"
"38","0.8267088378250269","0.8267088378250269","0.8267088378250269","0.8088165736024608","0.8088165736024608","0.8088165736024608"
"40","0.8336234276359672","0.8336234276359672","0.8336234276359672","0.8153187303334731","0.8153187303334731","0.8153187303334731"
"42","0.8386528151647934","0.8386528151647934","0.8386528151647934","0.8210272501302731","0.8210272501302731","0.8210272501302731"
"44","0.8432465489784947","0.8432465489784947","0.8432465489784947","0.8278499979598509","0.8278499979598509","0.8278499979598509"
"46","0.8479761027485706","0.8479761027485706","0.8479761027485706","0.8326630749472712","0.8326630749472712","0.8326630749472712"
"48","0.8524003003775628","0.8524003003775628","0.8524003003775628","0.837990620484075","0.837990620484075","0.837990620484075"