"Step","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/WER","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/WER__MIN","GRU-latent_dim=256,NLLLoss,opt=Adam,lr=0.001,dropout=0.2 - train/WER__MAX","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/WER","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/WER__MIN","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/WER__MAX"
"0","0.1586283798651766","0.1586283798651766","0.1586283798651766","0.14998160944611846","0.14998160944611846","0.14998160944611846"
"2","0.12071000067374146","0.12071000067374146","0.12071000067374146","0.12019361799422278","0.12019361799422278","0.12019361799422278"
"4","0.10716800237858938","0.10716800237858938","0.10716800237858938","0.10784407871562157","0.10784407871562157","0.10784407871562157"
"6","0.09636629459925623","0.09636629459925623","0.09636629459925623","0.09759534340367268","0.09759534340367268","0.09759534340367268"
"8","0.08949760384124315","0.08949760384124315","0.08949760384124315","0.08980815030256023","0.08980815030256023","0.08980815030256023"
"10","0.08183843747583211","0.08183843747583211","0.08183843747583211","0.08357111861412019","0.08357111861412019","0.08357111861412019"
"12","0.075027193379078","0.075027193379078","0.075027193379078","0.07786164753791801","0.07786164753791801","0.07786164753791801"
"14","0.07027436095688948","0.07027436095688948","0.07027436095688948","0.07217331696351852","0.07217331696351852","0.07217331696351852"
"16","0.06478671322484819","0.06478671322484819","0.06478671322484819","0.06893476318380387","0.06893476318380387","0.06893476318380387"
"18","0.06118124558199661","0.06118124558199661","0.06118124558199661","0.06503636711511739","0.06503636711511739","0.06503636711511739"
"20","0.057444636071127805","0.057444636071127805","0.057444636071127805","0.0613475922078311","0.0613475922078311","0.0613475922078311"
"22","0.054231676198099085","0.054231676198099085","0.054231676198099085","0.05866899402260467","0.05866899402260467","0.05866899402260467"
"24","0.05130125377699617","0.05130125377699617","0.05130125377699617","0.05678334341350003","0.05678334341350003","0.05678334341350003"
"26","0.049488579733566074","0.049488579733566074","0.049488579733566074","0.05390313641997947","0.05390313641997947","0.05390313641997947"
"28","0.046039744139809206","0.046039744139809206","0.046039744139809206","0.051993249829286416","0.051993249829286416","0.051993249829286416"
"30","0.04490517408517793","0.04490517408517793","0.04490517408517793","0.04956050242743874","0.04956050242743874","0.04956050242743874"
"32","0.042210279211457265","0.042210279211457265","0.042210279211457265","0.04768163136175153","0.04768163136175153","0.04768163136175153"
"34","0.04110766333744549","0.04110766333744549","0.04110766333744549","0.04609734807982637","0.04609734807982637","0.04609734807982637"
"36","0.039291650304134465","0.039291650304134465","0.039291650304134465","0.04443509164069041","0.04443509164069041","0.04443509164069041"
"38","0.03859650883904049","0.03859650883904049","0.03859650883904049","0.042809626843613065","0.042809626843613065","0.042809626843613065"
"40","0.036894969675895985","0.036894969675895985","0.036894969675895985","0.0417036469059783","0.0417036469059783","0.0417036469059783"
"42","0.036103334000287486","0.036103334000287486","0.036103334000287486","0.0400016840163822","0.0400016840163822","0.0400016840163822"
"44","0.03460963663180316","0.03460963663180316","0.03460963663180316","0.03853320515648569","0.03853320515648569","0.03853320515648569"
"46","0.03424184237346331","0.03424184237346331","0.03424184237346331","0.03731133451925637","0.03731133451925637","0.03731133451925637"
"48","0.032503728044840294","0.032503728044840294","0.032503728044840294","0.03697005466264748","0.03697005466264748","0.03697005466264748"